time,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.0,0.0016045703,0.18283388,-0.0016960016,-1.9147205,0.0003566592,2.0975542,-2.356437,0.02
0.012001104,0.013605674,0.1823519,-0.00331563,-1.9153826,0.00069567753,2.0977333,-2.3461993,0.02
0.023916228,0.025520798,0.18090777,-0.0048662266,-1.9173628,0.0010132479,2.098268,-2.3359704,0.02
0.035628818,0.037233386,0.17850418,-0.006247368,-1.9206543,0.0012844743,2.0991547,-2.3257568,0.02
0.047028873,0.04863344,0.17515041,-0.007366929,-1.9252391,0.0014873921,2.1003845,-2.3155665,0.02
0.05801542,0.05961999,0.17085414,-0.008142945,-1.931099,0.0016058042,2.101947,-2.3054123,0.02
0.068526596,0.07013117,0.1656302,-0.008536035,-1.9382051,0.0016340477,2.1038287,-2.295313,0.02
0.07855615,0.08004391,0.15949388,-0.00844459,-1.9465243,0.001559435,2.1060123,-2.2852833,0.02
0.08849105,0.08928727,0.15246278,-0.007823379,-1.9560211,0.0013834508,2.1084788,-2.2753484,0.02
0.09912309,0.097815365,0.14455725,-0.006655162,-1.9666531,0.0011180821,2.111207,-2.2655401,0.02
0.110842675,0.105558984,0.13580108,-0.00489966,-1.9783727,0.00077489397,2.1141722,-2.2558908,0.02
0.123600334,0.11247886,0.12621936,-0.002549445,-1.9911304,0.00037551657,2.1173491,-2.24644,0.02
0.13734397,0.118534,0.115837306,0.00040338695,-2.004874,-5.463767e-05,2.1207113,-2.2372313,0.02
0.15201434,0.123737134,0.104684874,0.0039103483,-2.0195444,-0.00047994722,2.1242285,-2.228316,0.02
0.16755256,0.1279872,0.0927915,0.0080400305,-2.0350826,-0.0008774485,2.127871,-2.2197378,0.02
0.18389758,0.1313576,0.080187514,0.012680725,-2.0514276,-0.0011993018,2.1316085,-2.211559,0.02
0.20098552,0.13383302,0.0669048,0.01781257,-2.0685155,-0.0014094099,2.135409,-2.2038348,0.02
0.21875057,0.13542749,0.05297491,0.023385657,-2.0862806,-0.0014690569,2.1392405,-2.1966233,0.02
0.23712525,0.13620538,0.038432386,0.029300012,-2.1046553,-0.0013391398,2.143071,-2.1899855,0.02
0.25604138,0.13613543,0.023310937,0.035553657,-2.1235714,-0.0009879929,2.1468675,-2.183977,0.02
0.27542934,0.13532908,0.0076462193,0.042001065,-2.1429594,-0.0003836846,2.1505985,-2.1786554,0.02
0.29521927,0.133763,-0.008527098,0.048633803,-2.1627493,0.0004967516,2.1542323,-2.1740732,0.02
0.31533822,0.13157214,-0.025168702,0.055286292,-2.1828682,0.0016703717,2.1577375,-2.1702785,0.02
0.3357149,0.12878536,-0.042239774,0.061900128,-2.203245,0.0031444419,2.1610837,-2.1673143,0.02
0.35627636,0.12551437,-0.05969724,0.06833611,-2.2238064,0.0049141175,2.1642425,-2.1652133,0.02
0.37694725,0.121767774,-0.077494346,0.074558415,-2.2444773,0.0069701048,2.1671863,-2.164006,0.02
0.39765605,0.11766332,-0.095583625,0.08042432,-2.265186,0.0092841685,2.1698895,-2.1637077,0.02
0.4183255,0.113234326,-0.11390877,0.085875474,-2.2858555,0.011824694,2.1723304,-2.1643305,0.02
0.438881,0.10861106,-0.13241084,0.0907594,-2.306411,0.014535824,2.1744893,-2.1658666,0.02
0.45924816,0.10381353,-0.15102817,0.09503283,-2.3267782,0.017365122,2.1763506,-2.1683087,0.02
0.47934994,0.09886625,-0.1696902,0.09864895,-2.34688,0.02025271,2.177903,-2.1716423,0.02
0.49911126,0.09388709,-0.1883217,0.101471186,-2.3666413,0.023111906,2.1791403,-2.1758285,0.02
0.5184573,0.08889453,-0.20684318,0.10346198,-2.3859873,0.025866926,2.180062,-2.180833,0.02
0.5373112,0.083891295,-0.22516967,0.10460038,-2.4048412,0.02844274,2.1806717,-2.1866188,0.02
0.5555991,0.078940876,-0.24320973,0.10480937,-2.423129,0.030746017,2.1809802,-2.1931288,0.02
0.5732564,0.074146405,-0.260867,0.10397739,-2.4407773,0.03267026,2.1810057,-2.2002904,0.02
0.5904348,0.069405995,-0.27804542,0.10219564,-2.4577112,0.03416869,2.1807692,-2.2080708,0.02
0.6070329,0.06475548,-0.2946435,0.09942685,-2.4738598,0.035163533,2.180299,-2.2164059,0.02
0.6229471,0.06024523,-0.3105577,0.09562647,-2.489152,0.035576705,2.1796272,-2.2252238,0.02
0.63807476,0.055838022,-0.32568535,0.09084197,-2.503519,0.035370324,2.1787908,-2.2344759,0.02
0.652313,0.051534116,-0.33992356,0.08509297,-2.5168943,0.034507696,2.1778295,-2.2441046,0.02
0.66556096,0.04734583,-0.35317153,0.07839674,-2.5292144,0.03296165,2.1767855,-2.2540512,0.02
0.67772233,0.043267004,-0.36533287,0.070799276,-2.5404184,0.03072912,2.175701,-2.2642653,0.02
0.6887045,0.03922832,-0.37631506,0.0624181,-2.5504496,0.027851505,2.1746192,-2.2747223,0.02
0.6993604,0.035231475,-0.386033,0.05331297,-2.5592563,0.02435852,2.1735804,-2.2853782,0.02
0.71020484,0.031199977,-0.39440966,0.043630917,-2.566791,0.020334082,2.1726224,-2.2962227,0.02
0.7212169,0.02710118,-0.4013736,0.033486925,-2.5730128,0.015860002,2.1717823,-2.3072348,0.02
0.73237824,0.022902707,-0.406867,0.023004955,-2.5778875,0.011031647,2.1710885,-2.318396,0.02
0.7436547,0.018627632,-0.41083908,0.012263854,-2.581388,0.0059333323,2.170568,-2.3296726,0.02
0.75507355,0.014136621,-0.41325477,0.0015067421,-2.5834937,0.00073301763,2.1702392,-2.3410914,0.02
0.76663566,0.009365644,-0.4140887,-0.009092439,-2.5841937,-0.0044305874,2.1701155,-2.3526535,0.02
0.7782943,0.0043747327,-0.4133305,-0.019477474,-2.583485,-0.009474669,2.1702034,-2.3643122,0.02
0.79004765,-0.00090352434,-0.4109829,-0.0294684,-2.5813708,-0.014259671,2.1704996,-2.3760655,0.02
0.8019047,-0.006574957,-0.4070612,-0.0388515,-2.5778644,-0.018635867,2.1709967,-2.3879225,0.02
0.8138249,-0.01262533,-0.40159672,-0.047532935,-2.5729868,-0.022519026,2.1716783,-2.3998427,0.02
0.82580805,-0.019168034,-0.39463174,-0.055302568,-2.566765,-0.025781771,2.1725209,-2.411826,0.02
0.8377619,-0.0260857,-0.38622713,-0.062182557,-2.5592344,-0.02841927,2.1734936,-2.4237797,0.02
0.8496988,-0.033568274,-0.3764477,-0.0679054,-2.5504353,-0.030305944,2.174561,-2.4357166,0.02
0.86151767,-0.041510075,-0.3653768,-0.07250228,-2.5404139,-0.031470895,2.1756825,-2.4475355,0.02
0.8737908,-0.04994191,-0.35310367,-0.07588112,-2.529221,-0.031900577,2.1768131,-2.4591777,0.02
0.88716495,-0.058848713,-0.33972952,-0.078005955,-2.516914,-0.031623147,2.1779058,-2.4705622,0.02
0.9015367,-0.06817214,-0.32535774,-0.078892455,-2.5035508,-0.030699193,2.1789145,-2.4815931,0.02
0.9167944,-0.07778013,-0.31010005,-0.07863789,-2.4891934,-0.029230166,2.1797912,-2.492152,0.02
0.9328269,-0.0876395,-0.29406756,-0.077252135,-2.4739096,-0.027288942,2.180495,-2.5021534,0.02
0.94952095,-0.09754073,-0.27737346,-0.07492404,-2.4577663,-0.025013536,2.1809847,-2.5114703,0.02
0.96676636,-0.10728477,-0.26012805,-0.07184001,-2.4408338,-0.022532454,2.1812277,-2.5199926,0.02
0.9844607,-0.11679123,-0.24243373,-0.06807763,-2.4231846,-0.019930536,2.1811974,-2.5276535,0.02
1.0027527,-0.12568322,-0.22439456,-0.064008325,-2.4048927,-0.017366653,2.1808715,-2.534335,0.02
1.0216132,-0.1339326,-0.20609897,-0.05966978,-2.386032,-0.014883544,2.1802378,-2.5400171,0.02
1.0409654,-0.14130516,-0.18763489,-0.05530541,-2.36668,-0.012566906,2.1792881,-2.5446525,0.02
1.0607346,-0.14769067,-0.1690804,-0.051041596,-2.3469107,-0.0104542365,2.1780205,-2.548235,0.02
1.080844,-0.15297428,-0.15050817,-0.04701394,-2.3268013,-0.00857125,2.1764398,-2.5507722,0.02
1.1012179,-0.15708877,-0.13198566,-0.043314014,-2.3064275,-0.006922297,2.1745532,-2.552291,0.02
1.1217788,-0.16001128,-0.11357637,-0.039993633,-2.2858665,-0.0054962575,2.172373,-2.5528314,0.02
1.1424526,-0.16170852,-0.09533766,-0.037117228,-2.2651927,-0.004277479,2.169916,-2.5524397,0.02
1.1631638,-0.16240858,-0.077324,-0.034493092,-2.2444816,-0.0032199204,2.1672008,-2.5511847,0.02
1.1838373,-0.16212755,-0.059587914,-0.032138452,-2.223808,-0.0023080108,2.1642497,-2.5491128,0.02
1.2043997,-0.16090597,-0.04217754,-0.030047627,-2.2032456,-0.0015248599,2.1610866,-2.5462728,0.02
1.2247766,-0.15903117,-0.025140151,-0.027968895,-2.1828687,-0.00084404607,2.1577384,-2.5427182,0.02
1.244896,-0.1565166,-0.008519663,-0.025921429,-2.1627493,-0.00026448962,2.1542325,-2.538486,0.02
1.264685,-0.15350953,0.007640756,-0.023790022,-2.1429603,0.00021725312,2.150599,-2.5336123,0.02
1.284074,-0.14998055,0.023301762,-0.021635182,-2.1235714,0.00060112396,2.1468678,-2.5281317,0.02
1.3029898,-0.146152,0.03842299,-0.019263865,-2.1046555,0.00088017405,2.1430714,-2.5220728,0.02
1.3213648,-0.14195469,0.052967824,-0.016774876,-2.0862806,0.0010538945,2.1392407,-2.515468,0.02
1.3391296,-0.13747364,0.06690055,-0.014111391,-2.0685158,0.001116665,2.135409,-2.5083456,0.02
1.3562182,-0.13263856,0.08018667,-0.011373628,-2.0514271,0.0010758057,2.1316085,-2.5007424,0.02
1.3725628,-0.12733439,0.09279225,-0.008708725,-2.0350826,0.00095059344,2.127871,-2.4927027,0.02
1.3881012,-0.12170118,0.10468625,-0.006003491,-2.0195441,0.0007375158,2.1242287,-2.484254,0.02
1.4027711,-0.11550967,0.115837604,-0.003523503,-2.0048742,0.00047784517,2.1207108,-2.4754539,0.02
1.4165151,-0.10888978,0.1262192,-0.001166139,-1.9911302,0.0001717246,2.1173491,-2.4663305,0.02
1.429272,-0.101618186,0.13579936,0.0008063919,-1.9783733,-0.00012739978,2.1141727,-2.4569478,0.02
1.4409924,-0.093705684,0.14455457,0.002373425,-1.966653,-0.0003988008,2.111207,-2.4473464,0.02
1.4516238,-0.08520768,0.15245898,0.0035609684,-1.9560215,-0.00062975776,2.1084793,-2.43756,0.02
1.4615539,-0.0760975,0.15949014,0.00431065,-1.9465243,-0.00079606497,2.1060128,-2.42763,0.02
1.4715804,-0.066301905,0.16562627,0.0045156507,-1.9382045,-0.0008639674,2.103829,-2.4176035,0.02
1.4818743,-0.056007907,0.17085022,0.0043428624,-1.9310995,-0.0008564286,2.1019478,-2.407489,0.02
1.4927195,-0.045162726,0.17514719,0.003709643,-1.925239,-0.0007489282,2.1003852,-2.3973258,0.02
1.5039992,-0.03388305,0.17850205,0.0027124826,-1.9206538,-0.0005574119,2.0991552,-2.3871272,0.02
1.5156192,-0.022263177,0.18090583,0.0014256659,-1.9173629,-0.0002966371,2.0982685,-2.376906,0.02
1.5274774,-0.010404953,0.18235128,-6.672498e-05,-1.9153821,1.4063778e-05,2.0977333,-2.366672,0.02
